Species or strain,Genome size (kbp),Protein-coding gene number,Total gene number*,Gene-coding percentage**
Staphylococcus aureus Mu50,2903.6,2733,2809,84.59
Staphylococcus aureus MW2,2841.1,2659,2738,84.6
Staphylococcus aureus N315,2839.5,2624,2702,84.36
Staphylococcus aureus NCTC 832,2821.4,2892,2969,85.71
Staphylococcus aureus USA300,2917.5,2604,2673,82.94
Staphylococcus epidermidis ATCC 12228,2564.6,2485,2561,84.13
Staphylococcus epidermidis RP62A,2643.8,2526,2606,83.7
Staphylococcus haemolyticus JCSC1435,2685,2678,2813,86.93
Staphylococcus saprophyticus saprophyticus ATCC 15305,2577.9,2514,2595,84.7
Streptococcus agalactiae 2603V/R,2160.3,2124,2225,88.14
Streptococcus agalactiae Ia A909,2127.8,1996,2097,87.85
Streptococcus agalactiae NEM316,2211.5,2134,2235,90.17
Streptococcus mutans UA159,2030.9,1960,2040,87.06
Streptococcus pneumoniae R6,2038.6,2043,2113,87.57
Streptococcus pneumoniae TIGR4,2160.8,2094,2164,83.54
Streptococcus pyogenes M1 GAS,1852.4,1696,1774,85.34
Streptococcus pyogenes M1 MGAS5005,1838.6,1865,2017,88.22
Streptococcus pyogenes M28 MGAS6180,1897.6,1894,2044,88.48
Streptococcus pyogenes MGAS10394,1899.9,1886,1973,88.65
Streptococcus pyogenes MGAS315,1900.5,1865,1946,87.23
Streptococcus pyogenes MGAS8232,1895,1845,1930,86.7
Streptococcus pyogenes SSI-1,1894.3,1861,1930,86.13
Streptococcus suis 89/1591,1978.2,1896,1938,86.1
Streptococcus thermophilus CNRZ 1066,1796.2,1915,2000,85.47
Streptococcus thermophilus LMD-9,1842.1,1850,1919,76.15
Streptococcus thermophilus LMG 18311,1796.8,1889,1974,85.52
Streptomyces avermitilis MA-4680,9119.9,7673,7761,86.39
Streptomyces coelicolor A3(2),9054.8,8215,8299,89.13
Sulfitobacter sp. EE-36,3547.2,3474,3529,90.89
Sulfitobacter sp. NAS-14.1,4002.1,3962,4014,89.92
Symbiobacterium thermophilum IAM 14863,3566.1,3337,3454,88.01
Synechococcus elongatus BP-1,2593.9,2475,2520,89.8
Synechococcus elongatus PCC7942,2695,2611,2664,88
Synechococcus sp. CC9605,2511,2638,2749,86
Synechococcus sp. CC9902,2235,2304,2355,89
Synechococcus sp. JA-2-3B'a(2-13),3047,2862,2942,85
Synechococcus sp. JA-3-3Ab,2933,2760,2897,84
Synechococcus sp. PCC 6301,2696.3,2525,2576,87.98
Synechococcus sp. RS9917,2580,2770,2820,92
Synechococcus sp. WH 5701,3043,3346,3401,87
Synechococcus sp. WH 7805,2620,2883,2394,90
Synechococcus sp. WH8102,2434.4,2526,2576,90.45
Synechocystis sp. PCC 6803,3947,3564,3614,86.69
Syntrophobacter fumaroxidans MPOB,4848.8,4031,4084,82.96
Syntrophomonas wolfei Goettingen,2845.8,2466,2524,83.33
Syntrophus aciditrophicus,3179.3,3168,3219,88.68
Thermoanaerobacter ethanolicus 39E,2282.7,2254,2311,87.84
Thermoanaerobacter tengcongensis MB4,2689.4,2588,2652,87.42
Thermobifida fusca YX,3642.2,3117,3182,85.74
Thermotoga maritima MSB8,1860.7,1846,1895,93.88
Thermus thermophilus HB27,2127.5,2210,2263,94.77
Thermus thermophilus HB8,1859.1,1988,2042,95.7
Thiobacillus denitrificans sp. ATCC 25259,2909.8,2827,2876,92.78
Thiomicrospira crunogena XCL-2,2427.7,2201,2254,90.63
Thiomicrospira denitrificans ATCC 33889,2201.6,2104,2160,93.8
Treponema denticola ATCC 35405,2843.2,2767,2817,91.93
Treponema pallidum Nichols,1138,1031,1082,93.15
Trichodesmium erythraeum IMS101,8191.4,4759,4801,58.12
Tropheryma whipplei TW08/27,925.9,784,838,85.61
Tropheryma whipplei Twist,927.3,808,861,86.34
Ureaplasma parvum serovar 3 ATCC 700970,751.7,611,647,92.43
Vibrio cholerae O1 biovar eltor N16961,4033.5,3828,3951,87.42
Vibrio fischeri ES114,4238.2,3747,3903,87.95
Vibrio parahaemolyticus RIMD 2210633,5165.8,4832,4992,87.86
Vibrio vulnificus CMCP6,5126.8,4537,4676,85.73
Vibrio vulnificus YJ016,5260.1,5028,5168,89.25
Wigglesworthia glossinidia endosymbiont of Glossina,697.7,611,651,88.47
Wolbachia endosymbiont of Drosophila ananassae,1440.8,1802,1833,75.78
Wolbachia endosymbiont of Drosophila simulans,1063.1,760,782,65.02
Wolbachia endosymbiont strain TRS of Brugia malayi,1080.1,805,842,67.6
Wolbachia pipientis wMel,1267.8,1195,1232,80.59
Wolinella succinogenes DSM 1740,2110.4,2044,2090,94.46
Xanthobacter autotrophicus Py2,5580.9,5041,5042,88.19
Xanthomonas axonopodis citri 306,5274.2,4427,4487,86.01
Xanthomonas campestris campestris 8004,5148.7,4273,4389,84.89
Xanthomonas campestris campestris ATCC 33913,5076.2,4181,4241,84.8
Xanthomonas campestris vesicatoria 85-10,5420.2,4726,4786,87.35
Xanthomonas oryzae KACC10331,4941.4,4637,4697,85.98
Xanthomonas oryzae MAFF 311018,4940.2,4372,4431,84.15
Xylella fastidiosa 9a5c,2731.8,2832,2888,83.64
Xylella fastidiosa Ann-1,2622.3,2359,2411,80.73
Xylella fastidiosa Dixon,5118.9,4662,4757,79.14
Xylella fastidiosa Temecula1,2521.1,2036,2091,78.32
Yersinia pestis biovar Medievalis 91001,4803.2,4142,4237,82.08
Yersinia pestis CO92,4829.9,4217,4307,84.23
Yersinia pestis KIM,4600.8,4090,4187,83.19
Yersinia pseudotuberculosis IP 32953,4840.9,4116,4226,84.27
Zymomonas mobilis ZM4,2056.4,1998,2086,86.72
,,,,
Archaea,,,,
Aeropyrum pernix K1,1669.7,2694,2751,89.17
Aeropyrum pernix K1,1669.7,2763,2815,90.44
Archaeoglobus fulgidus DSM 4304,2178.4,2407,2456,91.2
Archaeoglobus fulgidus VC-16,2178.4,2466,2515,93.62
Cenarchaeum symbiosum,2023.7,2011,2059,91.52
Ferroplasma acidarmanus fer1,1971.4,1695,1742,80.26
Haloarcula marismortui ATCC 43049,4274.6,4240,4300,84.96
Haloarcula marismortui ATCC 43049,4274.6,4322,4382,86.39
Halobacterium salinarium NRC-1,2571,2675,2726,87.41
Halobacterium salinarum NRC-1,2571,2605,2657,85.2
Methanobacterium thermoautotrophicum Delta H,1751.4,1846,1891,91.12
Methanocaldococcus jannaschii DSM 2661,1739.9,1770,1813,87.23
Methanocaldococcus jannaschii DSM 2661,1739.9,1789,1832,88.75
Methanococcoides burtonii DSM 6242,2575,2434,2495,85.69
Methanococcoides burtonii DSM6242,2597.4,2490,2551,84.21
Methanococcus maripaludis C5 ,1780.8,1813,1880,86
Methanococcus maripaludis S2,1661.1,1722,1770,89.87
Methanococcus maripaludis S2,1661.1,1732,1780,90.03
Methanoculleus marisnigri,2460.2,2418,2466,87.51
Methanoculleus marisnigri JR1 ,2478.1,2489,2555,87
Methanopyrus kandleri AV19,1695,1691,1734,89.09
Methanopyrus kandleri AV19,1695,1727,1765,90.24
Methanosarcina acetivorans C2A,5751.5,4540,4609,74.28
Methanosarcina acetivorans C2A,5751.5,4721,4731,76.77
Methanosarcina barkeri Fusaro,4873.8,3759,3830,71.46
Methanosarcina mazei Go1,4096.3,3371,3438,75.83
Methanosarcina mazei Go1,4096.3,3398,3465,76.51
Methanosphaera stadtmanae DSM 3091,1767.4,1534,1586,85.2
Methanospirillum hungatei JF-1,3535,3307,3369,87.1
Methanospiriilum hungatei JF-1,3544.7,3238,3303,88.62
Methanothermobacter thermautotrophicus Delta H,1751.4,1869,1915,90.91
Methaosaeta thermophila PT,1861.6,1718,1761,84.05
Nanoarchaeum equitans Kin4-M,490.9,536,579,93.39
Nanoarchaeum equitans Kin4-M,490.9,556,573,93.07
Natronomonas pharaonis DSM 2160,2749.7,2843,2892,90.61
Picrophilus torridus DSM 9790,1545.9,1535,1628,91.92
Picrophilus torridus DSM 9790,1545.9,1551,1598,92.41
Pyrobaculum aerophilum IM2,2222.4,2605,2655,88.78
Pyrobaculum aerophilum IM2,2222.4,2575,2614,89.24
Pyrobaculum calidifontis JCM 11548,2009.3,2149,2200,90
Pyrococcus abyssi GE5,1765.1,1784,1881,92.04
Pyrococcus abyssi GE5,1768.6,1904,1955,93.78
Pyrococcus furiosus DSM 3638,1908.3,2065,2115,91.38
Pyrococcus furiosus DSM 3638,1908.3,2069,2171,92.66
Pyrococcus horikoshii OT3,1738.5,2061,2112,91.07
Pyrococcus horikoshii OT3,1738.5,2196,2297,93.31
Staphylothermus marinus F1 ,1570.5,1570,1646,86
Sulfolobus acidocaldarius DSM 639,2226,2223,2322,85.31
Sulfolobus acidocaldarius DSM 639,2226,2285,2336,87.67
Sulfolobus solfataricus P2,2992.2,2994,3050,84.32
Sulfolobus solfataricus P2,2992.2,3048,3104,86.43
Sulfolobus tokodaii 7,2694.8,2826,2878,83.36
Sulfolobus tokodaii str. 7,2694.8,2915,2964,85.52
Thermococcus kodakaraensis KOD1,2088.7,2306,2358,92.05
Thermococcus kodakaraensis KOD1,2088.7,2297,2349,92.09
Thermofilum pendens ,1811.4,1892,1932,90.99
Thermoplasma acidophilum DSM 1728,1564.9,1478,1549,87.02
Thermoplasma acidophilum DSM 1728,1564.9,1527,1575,88.51
Thermoplasma volcanium GSS1,1584.8,1526,1575,86.19
Thermoplasma volcanium GSS1,1584.8,1561,1610,88.26
,,,,
Virus,,,,
Acholeplasma phage L2,12,14,14,81.31
Acholeplasma phage MV-L1,4.5,4,4,46.6
Actinoplanes phage phiAsp2,58.6,76,76,92.23
Aeromonas phage 31,173,247,263,92.84
Bacillus clarkii bacteriophage BCJA1c,41.1,58,58,92.66
Bacillus phage GA-1,21.1,35,35,92.46
Bacillus phage phi29,19.4,27,27,93.88
Bacillus thuringiensis bacteriophage Bam35c,14.9,32,32,93.49
Bacillus thuringiensis phage GIL16c,14.8,31,31,94.09
Bacteriophage 11b,36.1,65,65,90.15
Bacteriophage 187,39.6,77,77,93.55
Bacteriophage 2638A,41.3,57,57,92.68
Bacteriophage 29,42.8,75,75,92.15
Bacteriophage 37,43.7,77,77,95.58
Bacteriophage 3A,43.1,67,67,93.95
Bacteriophage 42e,45.9,79,79,93.38
Bacteriophage 44RR2.8t,173.6,252,269,93.28
Bacteriophage 47,44.8,72,72,93.99
Bacteriophage 52A,41.7,65,65,91.64
Bacteriophage 53,43.9,79,79,93.42
Bacteriophage 55,41.9,77,77,93.37
Bacteriophage 66,18.2,27,27,91.85
Bacteriophage 69,42.7,76,76,93.02
Bacteriophage 71,43.1,72,72,94.55
Bacteriophage 77,41.7,69,69,92.12
Bacteriophage 85,44.3,78,78,91.8
Bacteriophage 88,43.2,72,72,94.35
Bacteriophage 92,42.4,74,74,95.17
Bacteriophage 933W,61.7,80,83,88.07
Bacteriophage 96,43.6,79,79,91.98
Bacteriophagie A118,40.8,72,72,94.19
Bacteriophage Aaphi23,43,66,66,92.42
Bacteriophage Aeh1,233.2,352,377,94.04
Bacteriophage AP205,4.3,4,4,90.96
Bacteriophage B103,18.6,17,17,84.76
Bacteriophage B3,38.4,59,59,97.13
Bacteriophage bIL170,31.8,64,65,91.44
Bacteriophage bIL285,35.5,62,62,93.03
Bacteriophage bIL286,41.8,61,61,93.09
Bacteriophage bIL309,36.9,56,56,89.47
Bacteriophage bIL310,15,29,29,77.29
Bacteriophage bIL311,14.5,22,23,61.98
Bacteriophage bIL312,15.2,27,28,75.55
Bacteriophage D3112,37.6,55,55,93.84
Bacteriophage EJ-1,42.9,73,73,92.25
Bacteriophage EW,45.3,77,77,92.04
Bacteriophage Felix 01,86.2,247,269,92.91
Bacteriophage G1,138.7,214,218,88.69
Bacteriophage HK620,38.3,58,58,88.62
Bacteriophage IN93,19.6,35,35,83.53
Bacteriophage K139,33.1,44,44,92.1
Bacteriophage KS7,40.8,56,56,74.94
Bacteriophage KVP40,244.8,381,410,91.06
Bacteriophage L-413C,30.7,40,40,93.17
Bacteriophage L5,2.4,8,8,78.97
Bacteriophage lambda,48.5,71,71,87.83
Bacteriophage Mx8,49.5,86,86,93.4
Bacteriophage P27,42.6,58,60,89.84
Bacteriophage P4,11.6,14,14,84.25
Bacteriophage phBC6A51,61.4,75,75,82.74
Bacteriophage phBC6A52,38.5,49,49,80.07
Bacteriophage phi AT3,39.2,55,55,89.65
Bacteriophage phi CTX,35.6,47,47,91.27
Bacteriophage phi ETA,43.1,66,66,92.79
Bacteriophage phi JL001,63.6,90,90,95.32
Bacteriophage phi LC3,32.2,51,51,92.46
Bacteriophage phi1026b,54.9,83,83,94
Bacteriophage phi-105,39.3,51,51,89.23
Bacteriophage phi-12,13.2,15,15,85.87
Bacteriophage phi3626,33.5,50,50,92.54
Bacteriophage phi-8,15,16,16,89.33
Bacteriophage phi-BT1,41.8,55,58,88.36
Bacteriophage phi-C31,41.5,53,55,90.01
Bacteriophage phiE125,53.4,71,71,89.7
Bacteriophage phig1e,42.3,50,52,76.25
Bacteriophage phiKMV,42.5,48,48,90.81
Bacteriophage phiKO2,51.6,64,64,92.5
Bacteriophage phiMFV1,15.1,17,17,91.61
Bacteriophage phiYeO3-12,39.6,59,59,91.36
Bacteriophage PSP3,30.6,42,42,91.69
Bacteriophage PT1028,15.6,22,22,77.42
Bacteriophage PY54,46.3,67,67,89.84
Bacteriophage r1t,33.3,50,50,91.26
Bacteriophage RM 378,129.9,146,147,93.44
Bacteriophage ROSA,43.2,74,74,92.86
Bacteriophage sk1,28.5,56,57,89.53
Bacteriophage SPBc2,134.4,185,185,86.22
Bacteriophage S-PM2,196.3,239,264,94.01
Bacteriophage SPP1,44,106,106,92.53
Bacteriophage Tuc2009,38.3,56,56,92.12
Bacteriophage Vf12,8,7,7,55.02
Bacteriophage Vf33,8,7,7,55.02
Bacteriophage VfO3K6,8.8,10,10,79.52
Bacteriophage VfO4K68,6.9,8,8,77.62
Bacteriophage VSKK,6.8,6,6,49.49
Bacteriophage VT2-Sa,60.9,83,86,88.79
Bacteriophage VWB,49.2,61,61,82.15
Bacteriophage WPhi,32.7,44,44,92.64
Bacteriophage X2,43.4,77,77,92.85
Bordetella phage BIP-1,42.6,48,48,95.65
Bordetella phage BMP-1,42.7,47,47,94.84
Bordetella phage BPP-1,42.5,49,49,96.37
Burkholderia cenocepacia phage Bcep1,48.2,71,71,91.74
Burkholderia cenocepacia phage BcepB1A,47.4,58,58,89.26
Burkholderia cenocepacia phage BcepMu,36.7,53,53,94.23
Burkholderia cepacia complex phage BcepC6B,42.4,46,46,92.67
Burkholderia cepacia phage Bcep22,63.9,78,79,91.44
Burkholderia cepacia phage Bcep43,48,65,66,92.81
Burkholderia cepacia phage Bcep781,48.2,66,67,92.83
Burkholderia cepacia phage BcepNazgul,58.1,75,75,90.26
Chlamydia phage 2,4.6,8,8,90.29
Chlamydia phage 3,4.6,8,8,89.09
Chlamydia pneumoniae phage CPAR39,4.5,7,7,87.51
Chlamydia psittaci bacteriophage chp1,4.9,12,12,68.59
Coliphage alpha3,6.1,10,10,83.77
Coliphage ID11,5.6,11,11,94.94
Coliphage phiK,6.1,10,10,83.84
Coliphage phiX174,5.4,11,11,95.08
Cyanophage P60,47.9,80,80,81.71
Cyanophage P-SSM2,252.4,329,330,94.73
Cyanophage P-SSM4,178.2,198,198,92.61
Cyanophage P-SSP7,45,53,53,88.76
Ehux virus,407,472,477,81.71
Enterobacteria phage 186,30.6,46,47,93.29
Enterobacteria phage epsilon15,39.7,49,49,92.39
Enterobacteria phage FI,4.3,4,4,95.42
Enterobacteria phage fr,3.6,4,4,90.8
Enterobacteria phage G4,5.6,11,11,94.94
Enterobacteria phage GA,3.5,3,3,91.32
Enterobacteria phage HK022,40.8,57,57,84.17
Enterobacteria phage HK97,39.7,61,61,88.5
Enterobacteria phage I2-2,6.7,9,9,66.73
Enterobacteria phage If1,8.5,10,10,80.18
Enterobacteria phage Ike,6.9,10,10,87.78
Enterobacteria phage KU1,3.5,4,4,91.8
Enterobacteria phage M13,6.4,10,10,83.28
Enterobacteria phage Mu,36.7,55,55,94.77
Enterobacteria phage N15,46.4,60,60,90.9
Enterobacteria phage P1,94.8,110,113,87.2
Enterobacteria phage P2,33.6,43,43,92.28
Enterobacteria phage P22,41.7,72,72,89.78
Enterobacteria phage PRD1,14.9,22,22,82.15
Enterobacteria phage RB43,180.5,292,293,93.8
Enterobacteria phage RB49,164,274,274,93.76
Enterobacteria phage RB69,167.6,273,275,93.83
Enterobacteria phage S13,5.4,12,12,96.47
Enterobacteria phage Sf6,39,66,68,90.3
Enterobacteria phage SP6,43.8,52,52,91.04
Enterobacteria phage T1,48.8,78,78,91.24
Enterobacteria phage T3,38.2,55,55,91.15
Enterobacteria phage T4,168.9,278,286,94.49
Enterobacteria phage T5,121.8,162,187,81.31
Enterobacteria phage T7,39.9,60,60,92.02
Enterobacterio phage MS2,3.6,4,4,90.95
Enterobacteriophage Qbeta,4.2,4,4,95.3
Guinea pig Chlamydia phage,4.5,9,9,85.03
Haemophilus phage HP1,32.4,42,43,92.33
Haemophilus phage HP2,31.5,37,38,90.88
Halorubrum phage HF2,77.7,114,120,88.36
Lactobacillus bacteriophage phi adh,43.8,63,63,90.68
Lactobacillus casei bacteriophage A2,43.4,61,62,88.69
Lactobacillus johnsonii prophage Lj928,38.4,50,51,90.46
Lactobacillus johnsonii prophage Lj965,40.2,46,50,89.58
Lactobacillus plantarum bacteriophage LP65,131.5,165,193,85.99
Lactobacillus plantarum bacteriophage phiJL-1,36.7,46,47,85.23
Lactococcus phage BK5-T,40,63,63,90.87
Lactococcus phage c2,22.2,39,39,92.6
Lactococcus phage P335,36.6,49,49,92.91
Lactococcus phage TP901-1,37.7,56,57,92.6
Lactococcus phage ul36,36.8,58,58,88.77
Listeria phage 2389,37.6,59,60,90.66
Listonella pelagia phage phiHSIC,38,47,47,87.65
Methanobacterium phage psiM2,26.1,32,32,87.51
Methanothermobacter wolfeii prophage psiM100,28.8,35,35,88.65
Mycobacteria phage D29,49.1,79,84,91.43
Mycobacteriophage PG1,69,100,100,94.25
Mycobacterium phage Barnyard,70.8,109,109,94.43
Mycobacterium phage Bxb1,50.6,86,86,90.41
Mycobacterium phage Bxz1,156.1,225,254,91.52
Mycobacterium phage Bxz2,50.9,86,89,91.2
Mycobacterium phage Che8,59.5,112,112,94.8
Mycobacterium phage Che9c,57.1,84,85,94.08
Mycobacterium phage Che9d,56.3,111,111,94.71
Mycobacterium phage Cjw1,75.9,141,143,93.03
Mycobacterium phage Corndog,69.8,122,122,93.88
Mycobacterium phage L5,52.3,85,88,88.13
Mycobacterium phage Omega,110.9,237,239,93.95
Mycobacterium phage Rosebush,67.5,90,90,95.26
Mycobacterium phage TM4,52.8,89,89,91.91
Mycoplasma arthritidis bacteriophage MAV1,15.6,15,15,90.23
Propionibacterium phage phiB5,5.8,10,10,94.38
Pseudoalteromonas phage PM2,10.1,22,22,92.82
Pseudomonas aeruginosa bacteriophage PaP2,43.8,58,58,92.4
Pseudomonas aeruginosa phage F116,65.2,70,70,92.91
Pseudomonas aeruginosa phage PaP3,45.5,71,75,92.25
Pseudomonas bacteriophage phi-13,13.7,13,13,84.44
Pseudomonas phage D3,56.4,95,99,89.65
Pseudomonas phage gh-1,37.4,42,42,93.26
Pseudomonas phage Pf1,7.4,14,14,90.92
Pseudomonas phage Pf3,5.8,9,9,92.78
Pseudomonas phage phi-6,13.4,13,13,78.94
Pseudomonas phage phiKZ,280.3,306,313,87.27
Pseudomonas phage PP7,3.6,4,4,95.62
Ralstonia phage p12J,7.1,10,10,77.19
Roseophage SIO1,39.9,34,34,77.12
Salmonella typhimurium bacteriophage ES18,46.9,79,79,91.68
Salmonella typhimurium bacteriophage ST104,41.4,63,63,90.58
Salmonella typhimurium bacteriophage ST64T,40.7,65,66,90.77
Salmonella typhimurium phage ST64B,40.1,56,56,88.81
Shigella flexneri bacteriophage V,37.1,53,53,92.67
Sinorhizobium meliloti phage PBC5,57.4,83,83,89.76
Spiroplasma phage 1-C74,7.8,13,13,79.72
Spiroplasma phage 1-R8A2B,8.3,12,12,76.16
Spiroplasma phage 4,4.4,9,9,82.29
Staphylococcus aureus bacteriophage PVL,41.4,62,62,89.79
Staphylococcus aureus phage phi 11,43.6,53,53,79.9
Staphylococcus aureus phage phi 12,45,49,49,79.65
Staphylococcus aureus phage phi 13,42.7,49,49,78.07
Staphylococcus aureus phage phiP68,18.2,22,22,92.25
Staphylococcus aureus prophage phiPV83,45.6,65,65,87.22
Staphylococcus aureus temperate phage phiSLT,42.9,61,61,89.4
Staphylococcus phage 44AHJD,16.8,21,21,91.56
Staphylococcus phage K,127.4,115,119,78.68
Staphylococcus phage phiN315,44.1,65,65,87.93
Staphylococcus phage Twort,130.7,195,196,88.06
Streptococcus mitis phage SM1,34.7,56,56,91.43
Streptococcus phage C1,16.7,20,20,87.15
Streptococcus phage Cp-1,19.3,28,28,86.41
Streptococcus pneumoniae bacteriophage MM1,40.2,53,53,94.37
Streptococcus pyogenes phage 315.1,39.5,56,56,87.42
Streptococcus pyogenes phage 315.2,41.1,60,60,88.66
Streptococcus pyogenes phage 315.3,34.4,52,52,90.96
Streptococcus pyogenes phage 315.4,41.8,64,64,88.42
Streptococcus pyogenes phage 315.5,38.2,55,55,86.96
Streptococcus pyogenes phage 315.6,40,51,51,90.64
Streptococcus thermophilus bacteriophage 2972,34.7,44,44,93.35
Streptococcus thermophilus bacteriophage 7201,35.5,46,46,93.21
Streptococcus thermophilus bacteriophage DT1,34.8,45,45,89.18
Streptococcus thermophilus bacteriophage Sfi11,39.8,53,53,93.06
Streptococcus thermophilus bacteriophage Sfi19,37.4,45,45,88.93
Streptococcus thermophilus bacteriophage Sfi21,40.7,50,50,89.36
Streptococcus thermophilus temperate bacteriophage O1205,43.1,57,57,92.89
Stx1 converting bacteriophage,59.9,167,167,89.32
Stx2 converting bacteriophage I,61.8,166,169,89.44
Stx2 converting bacteriophage II,62.7,170,173,88.21
Temperate phage phiNIH1.1,41.8,55,55,82.01
Vibrio cholerae O139 fs1 phage,6.3,15,15,82.08
Vibrio cholerae phage KSF-1phi,7.1,12,12,73.11
Vibrio cholerae phage VGJphi,7.5,13,13,83.07
Vibrio harveyi bacteriophage VHML,43.2,57,57,83.29
Vibrio phage fs2,8.7,9,9,84.78
Vibrio phage VP5,39.8,48,48,93.08
Vibrio phage VSK,6.9,14,14,85.34
Vibriophage VP2,39.9,47,47,92.76
Vibriophage VP4,39.5,21,21,68.82
Vibriophage VpV262,46,67,68,91.79
Xanthomonas campestris pv. pelargonii phage Xp15,55.8,84,84,90.28
Xanthomonas oryzae bacteriophage Xp10,44.4,60,60,89.55
Xanthomonas phage Cf1c,7.3,9,9,80.32
Yersinia pestis phage phiA1122,37.6,50,50,91.84
,,,,
Mitochondria,,,,
Acanthaster brevispinus mitochondrion,16.3,13,37,
Acanthaster planci mitochondrion,16.2,13,37,
Acrochordus granulatus mitochondrion,17.6,13,37,64
Alectura lathami mitochondrion,16.7,13,37,68
Ambystoma andersoni mitochondrion,16.4,13,37,69
Ambystoma californiense mitochondrion,16.4,13,37,69
Ambystoma dumerilii mitochondrion,16.4,13,37,69
Andrias japonicus mitochondrion,16.3,13,37,69
Anisakis simplex mitochondrion,13.9,12,36,
Aplysia californica mitochondrion,14.1,13,37,77
Arabidopsis thaliana mitochondrion,366.9,66,85,11
Aspergillus niger mitochondrion,31.1,16,43,
Aspergillus tubingensis mitochondrion,33.7,16,43,
Asterias amurensis mitochondrion,16.4,13,32,69
Astropecten polyacanthus mitochondrion,16.3,13,32,70
Bactrocera oleae mitochondrion,15.8,13,37,70
Balaenoptera edeni mitochondrion,16.4,13,37,
Balaenoptera omurai mitochondrion,16.4,13,37,
Balaenoptera physalus mitochondrion,16.4,13,37,69
Bipes canaliculatus mitochondrion,16.2,13,37,69
Boa constrictor mitochondrion,18.9,13,37,59
Bombina bombina ,17.6,13,37,64
Bombyx mandarina mitochondrion,15.9,13,37,70
Bombyx mori mitochondrion,15.6,13,13,71
Bos grunniens mitochondrion,16.3,12,36,58
Bos indicus mitochondrion,16.3,13,36,69
Bos taurus mitochondrion,16.3,13,58,69
Branta canadensis mitochondrion,16.8,13,37,67
Buergeria buergeri mitochondrion,20,13,37,56
Cafeteria roenbergensis mitochondrion,43.1,34,58,82
Callinectes sapidus mitochondrion,16.3,13,37,68
Campanulotes bidentatus compar mitochondrion,14.8,13,37,
Candida albicans SC5314 mitochondrion,40.4,13,45,24
Candida glabrata mitochondrion,20,11,37,47
Candida metapsilosis mitochondrion,24.2,15,41,54
Candida orthopsilosis mitochondrion,22.5,15,41,56
Candida parapsilosis mitochondrion,32.7,20,46,
Carassius auratus x Cyprinus carpio mitochondrion,16.6,13,37,
Carassius auratus x Cyprinus carpio x Carassius cuvieri mitochondrion,16.6,13,37,
Cathartes aura mitochondrion,16.8,13,37,67
Centruroides limpidus mitochondrion,14.5,13,36,74
Cercopithecus aethiops mitochondrion,16.4,13,37,69
Cervus elaphus mitochondrion,16.4,13,37,65
Cervus nippon yakushimae mitochondrion,16.4,13,37,68
Chauliodus sloani mitochondrion,17.8,13,37,64
Chirocentrus dorab mitochondrion,16,13,37,71
Chlorurus sordidus mitochondrion,16.7,13,37,68
Choloepus didactylus mitochondrion,16.5,13,37,68
Chondrus crispus mitochondrion,25.8,25,51,71
Chrysodidymus synuroideus mitochondrion,34.1,37,62,
Ciona savignyi mitochondrion,14.7,12,38,74
Cobitis sinensis mitochondrion,16.6,13,37,68
Cordylus warreni mitochondrion,17.2,13,39,66
Coreoleuciscus splendidus mitochondrion,16.6,13,37,68
Crassostrea virginica mitochondrion,17.2,12,37,
Cricetulus griseus mitochondrion,16.3,13,15,
Crinipellis perniciosa mitochondrion,109.1,89,117,50
Crocidura russula mitochondrion,17.2,13,26,65
Cromeria nilotica mitochondrion,16,13,35,
Cyanidioschyzon merolae mitochondrion,32.2,34,62,76
Cyanidioschyzon merolae mitochondrion,32.2,31,62,76
Cygnus columbianus mitochondrion,16.7,13,37,68
Cylindrophis ruffus mitochondrion,17.5,13,37,64
Cypselurus hiraii mitochondrion,16.5,13,37,69
Danio rerio mitochondrion,16.6,13,37,68
Dasyurus hallucatus mitochondrion,17.2,13,37,68
Denticeps clupeoides mitochondrion,17.2,13,37,65
Desmarestia viridis mitochondrion,39,39,68,69
Dictyostelium citrinum mitochondrion,58.6,33,46,68
Dictyota dichotoma mitochondrion,31.6,38,66,77
Diomedea melanophris mitochondrion,17,13,37,69
Doliolum nationalis mitochondrion,16.4,13,40,66
Drosophila melanogaster mitochondrion,19.5,13,37,57
Echinococcus multilocularis mitochondrion,13.7,12,36,73
Echymipera rufescens australis mitochondrion,16.6,13,37,68
Emmelichthys struhsakeri mitochondrion,16.5,13,37,68
Epidermophyton floccosum mitochondrion,30.9,64,51,67
Epigonichthys lucayanus mitochondrion,15.1,13,37,74
Epigonichthys maldivensis mitochondrion,15,13,37,75
Fejervarya limnocharis mitochondrion,17.7,13,38,63
Fucus vesiculosus mitochondrion,36.4,38,67,77
Gallus gallus gallus mitochondrion,16.8,13,37,67
Gallus lafayettei mitochondrion,16.8,13,37,67
Gallus sonneratii mitochondrion,16.8,13,37,67
Gavia stellata mitochondrion,17.6,13,37,67
Gegeneophis ramaswamii mitochondrion,15.9,13,36,70
Gekko gecko mitochondrion,16.4,13,37,68
Geochelone pardalis mitochondrion,19.4,13,37,54
Geothelphusa dehaani mitochondrion,18.2,13,38,61
Gonodactylus chiragra mitochondrion,16.3,13,37,68
Grasseichthys gabonensis mitochondrion,16.9,13,37,11
Gryllotalpa orientalis mitochondrion,15.5,13,37,71
Gymnocrinus richeri mitochondrion,16,13,37,71
Haematobia irritans irritans mitochondrion,16.1,13,37,69
Haliotis rubra mitochondrion,16.9,13,37,69
